|Run	|Time	|PosX	|PosY
0	1	1001	1000
0	2	1001	999
0	3	1001	998
0	4	1002	997
0	5	1003	997
0	6	1004	997
0	7	1004	997
0	8	1005	996
0	9	1005	995
0	10	1006	996
0	11	1006	996
0	12	1006	996
0	13	1006	996
0	14	1007	995
0	15	1008	994
0	16	1008	994
0	17	1009	994
0	18	1010	993
0	19	1011	994
0	20	1011	993
0	21	1012	993
0	22	1013	993
0	23	1014	992
0	24	1014	991
0	25	1014	991
0	26	1014	990
0	27	1014	991
0	28	1015	991
0	29	1016	991
0	30	1017	990
0	31	1017	990
0	32	1017	990
0	33	1018	989
0	34	1018	990
0	35	1019	990
0	36	1019	989
0	37	1019	988
0	38	1018	988
0	39	1019	987
0	40	1020	987
0	41	1020	987
0	42	1020	986
0	43	1021	985
0	44	1022	985
0	45	1023	985
0	46	1024	984
0	47	1025	983
0	48	1026	983
0	49	1026	983
0	50	1027	984
0	51	1027	984
0	52	1027	983
0	53	1028	983
0	54	1029	983
0	55	1029	984
0	56	1030	985
0	57	1029	985
0	58	1030	984
0	59	1030	984
0	60	1030	984
0	61	1031	983
0	62	1032	983
0	63	1033	983
0	64	1033	983
0	65	1033	983
0	66	1033	984
0	67	1034	984
0	68	1034	984
0	69	1035	984
0	70	1036	984
0	71	1035	984
0	72	1035	985
0	73	1035	986
0	74	1036	986
0	75	1036	987
0	76	1036	987
0	77	1037	987
0	78	1038	987
0	79	1039	986
0	80	1040	985
0	81	1041	986
0	82	1041	985
0	83	1041	985
0	84	1042	985
0	85	1043	984
0	86	1044	984
0	87	1044	983
0	88	1044	982
0	89	1045	983
0	90	1045	984
0	91	1046	984
0	92	1047	984
0	93	1048	984
0	94	1049	985
0	95	1048	984
0	96	1048	984
0	97	1049	984
0	98	1049	983
0	99	1050	983
0	100	1050	984
0	101	1051	985
0	102	1051	985
0	103	1050	984
0	104	1050	984
0	105	1050	983
0	106	1051	984
0	107	1052	984
0	108	1053	985
0	109	1053	985
0	110	1054	985
0	111	1055	986
0	112	1055	986
0	113	1056	986
0	114	1057	986
0	115	1058	987
0	116	1059	987
0	117	1059	987
0	118	1060	987
0	119	1061	987
0	120	1062	987
0	121	1062	988
0	122	1062	988
0	123	1063	987
0	124	1064	986
0	125	1064	986
0	126	1065	985
0	127	1065	985
0	128	1066	984
0	129	1067	984
0	130	1068	984
0	131	1068	985
0	132	1069	986
0	133	1069	985
0	134	1069	986
0	135	1070	985
0	136	1071	985
0	137	1071	986
0	138	1072	987
0	139	1073	987
0	140	1073	986
0	141	1074	986
0	142	1075	985
0	143	1075	985
0	144	1076	985
0	145	1076	985
0	146	1077	985
0	147	1077	984
0	148	1078	984
0	149	1078	983
0	150	1077	984
0	151	1078	985
0	152	1079	984
0	153	1079	983
0	154	1079	982
0	155	1079	982
0	156	1079	982
0	157	1080	983
